0.8593, 0.2468
0.1276, 0.7183
0.9345, 0.5732
0.6823, 0.9214
0.2957, 0.4368
0.5087, 0.8274
0.7206, 0.1934
0.3892, 0.6715
0.5678, 0.9821
0.2489, 0.3567
0.8901, 0.6245
0.4321, 0.7619
0.6754, 0.8213
0.1345, 0.9753
0.7564, 0.2917
0.6123, 0.5498
0.9471, 0.8734
0.3256, 0.7189
0.8792, 0.4721
0.5432, 0.6245
0.7987, 0.2145
0.2589, 0.3564
0.6831, 0.1946
0.5367, 0.9812
0.1892, 0.4578
0.6523, 0.8123
0.9273, 0.3756
0.4683, 0.6432
0.7165, 0.5234
0.8291, 0.7912
0.2945, 0.9182
0.6453, 0.5723
0.8412, 0.3645
0.5092, 0.7281
0.2376, 0.8472
0.7893, 0.5123
0.3568, 0.9165
0.4721, 0.6932
0.9245, 0.3812
0.6134, 0.8726
0.3154, 0.2475
0.7891, 0.4376
0.6521, 0.5214
