0.9426, 0.6384
0.7512, 0.2875
0.5834, 0.9021
0.3692, 0.5041
0.8167, 0.1823
0.4251, 0.7359
0.6078, 0.4215
0.9234, 0.8762
0.2815, 0.1634
0.7392, 0.8957
0.5123, 0.3289
0.6741, 0.7289
0.9432, 0.4572
0.2861, 0.6194
0.7258, 0.2514
0.8623, 0.5632
0.4912, 0.8134
0.6354, 0.2871
0.1246, 0.9281
0.5983, 0.3489
0.7821, 0.6743
0.3921, 0.8154
0.5369, 0.1245
0.8421, 0.2791
0.9235, 0.5832
0.4578, 0.1923
0.6187, 0.9365
0.3752, 0.7485
0.5214, 0.8293
0.8965, 0.3154
0.2648, 0.6721
0.4391, 0.9826
0.7315, 0.2876
0.5623, 0.4937
0.8275, 0.6428
0.9436, 0.2184
0.3759, 0.6149
0.7291, 0.3754
0.6814, 0.9382
0.9146, 0.2951
0.5289, 0.8467
0.3785, 0.6271
0.7462, 0.5128
0.2853, 0.8371
0.6923, 0.1793
0.5124, 0.8962
0.8491, 0.6137
0.2147, 0.7425
0.6391, 0.3128
0.4812, 0.9246
0.7654, 0.2541
0.3291, 0.7612
0.8791, 0.5361
0.6245, 0.4823
0.1832, 0.9518
0.9483, 0.2764
0.5872, 0.8532
0.7124, 0.6749
0.5264, 0.2915
0.3152, 0.7182
0.7623, 0.4392
0.3925, 0.8952
0.6284, 0.7249
0.2516, 0.5392
0.8432, 0.4726
0.4791, 0.8325
0.9274, 0.6148
0.5147, 0.9382
0.3672, 0.2154
