0.7291, 0.3624
0.5148, 0.8246
0.1857, 0.0983
0.6792, 0.5057
0.9365, 0.7421
0.2678, 0.9512
0.3856, 0.1734
0.6203, 0.4409
0.7198, 0.3087
0.0824, 0.9567
0.4132, 0.6825
0.8756, 0.2913
0.1345, 0.7791
0.9862, 0.5274
0.6547, 0.3246
0.2938, 0.8752
0.4275, 0.1683
0.8056, 0.9327
0.2451, 0.6089
0.7693, 0.4412
0.1367, 0.7198
0.5721, 0.3967
0.9412, 0.8153
0.6389, 0.2574
0.3287, 0.9276
0.7512, 0.6345
0.5938, 0.4092
0.1275, 0.8263
0.8643, 0.2975
0.7182, 0.5621
0.4851, 0.7406
0.2764, 0.6389
0.9347, 0.1257
0.6921, 0.3762
0.4125, 0.9582
